"OrderId","ClientOrderId","Price","Volume","DateTime"
"1","32","46","32","2021-03-30 17:07:34.930"
"2","1","45","3","2021-03-30 17:07:34.950"
"3","35","47","27","2021-03-30 17:07:57.201"
"4","33","46","11","2021-03-30 17:07:57.202"
"5","36","47","25","2021-03-30 17:08:03.406"
"6","37","47","27","2021-03-30 17:08:04.171"
"7","34","46","65","2021-03-30 17:08:31.324"
"8","34","46","28","2021-03-30 17:08:41.225"
"9","70","47","46","2021-03-30 17:08:49.235"
"10","71","48","26","2021-03-30 17:09:03.087"
"11","72","47","33","2021-03-30 17:09:03.654"
"12","71","48","5","2021-03-30 17:09:03.655"
"13","130","49","26","2021-03-30 17:09:03.655"
"14","73","48","21","2021-03-30 17:09:08.632"
"15","41","47","28","2021-03-30 17:09:09.118"
"16","73","48","8","2021-03-30 17:09:09.171"
"17","130","49","55","2021-03-30 17:09:09.179"
"18","74","48","35","2021-03-30 17:09:12.579"
"19","130","49","18","2021-03-30 17:09:12.587"
"20","41","47","8","2021-03-30 17:09:13.899"
"21","42","47","44","2021-03-30 17:09:13.909"
"22","105","46","42","2021-03-30 17:09:13.915"
"23","106","46","22","2021-03-30 17:09:13.916"
"24","108","46","11","2021-03-30 17:09:13.917"
"25","109","46","27","2021-03-30 17:09:25.547"
"26","101","45","32","2021-03-30 17:09:25.548"
"27","110","45","20","2021-03-30 17:09:25.549"
"28","3","44","1","2021-03-30 17:09:25.549"
"29","82","47","22","2021-03-30 17:10:32.736"
"30","49","47","13","2021-03-30 17:10:34.257"
"31","50","47","8","2021-03-30 17:10:34.257"
"32","50","47","13","2021-03-30 17:10:45.371"
"33","51","47","29","2021-03-30 17:10:45.372"
"34","77","48","24","2021-03-30 17:10:46.543"
"35","77","48","24","2021-03-30 17:10:54.777"
"36","52","47","73","2021-03-30 17:11:18.743"
"37","79","48","59","2021-03-30 17:11:29.229"
"38","139","48","5","2021-03-30 17:11:29.242"
"39","139","48","15","2021-03-30 17:11:55.058"
"40","84","48","13","2021-03-30 17:11:55.067"
"41","91","47","35","2021-03-30 17:12:05.989"
"42","91","47","25","2021-03-30 17:12:11.309"
"43","84","48","39","2021-03-30 17:12:13.852"
"44","85","48","5","2021-03-30 17:12:13.852"
"45","48","46","21","2021-03-30 17:12:48.074"
"46","116","46","1","2021-03-30 17:12:48.083"
"47","93","47","26","2021-03-30 17:12:54.106"
"48","94","47","79","2021-03-30 17:12:54.106"
"49","116","46","21","2021-03-30 17:13:38.217"
"50","95","47","48","2021-03-30 17:13:38.360"
"51","96","47","71","2021-03-30 17:13:38.370"
